key,tokenizer,technique,mcc,m_f1,w_f1,acc
445,ToktokTokenizer,LSTM,-0.00927576239513354,0.3592287664485257,0.4028601101441187,0.560619371842741
12,NLTKWordTokenizer,SGDC,-0.006299877314803008,0.4942246436894453,0.5036605852142632,0.5100658857979502
501,ToktokTokenizer,SGDC,0.00532486153418171,0.4809304783351145,0.4754148868952249,0.4855417276720351
69,ToktokTokenizer,LR,0.004840053428069606,0.3899753992051593,0.4312821654474651,0.5603953147877013
462,SyllableTokenizer,KNN,-0.003228805444064713,0.4707736882284974,0.4635663546608807,0.4786547700754976
114,SyllableTokenizer,BiLSTM,0.0,0.35800728469040066,0.3992855770320831,0.5576500732064422
275,ToktokTokenizer,GB,0.013449662055031921,0.3773055819090053,0.4076447431105739,0.5464653397391901
50,WhitespaceTokenizer,LSTM,0.5189561295599808,0.7587272088482562,0.7606283274647752,0.7600658857979502
339,ToktokTokenizer,BNB,0.016530827241080702,0.4574658270704697,0.4857082231625762,0.5499670546892159
22,ToktokTokenizer,BiLSTM,0.0,0.3625014584062536,0.4122591622504502,0.5686310395314788
9,ToktokTokenizer,BNB,0.06062407582266045,0.530176526158292,0.5341203604473028,0.5334919472913616
489,MWETokenizer,KNN,0.00324531908279522,0.4695481737488274,0.4612190877160736,0.4784040995607614
77,ToktokTokenizer,LR,0.01051312743992897,0.413328977598966,0.450835227331678,0.5582704186684969
336,TreebankWordTokenizer,BNB,0.011999487059845436,0.3816665237109576,0.4204287538617397,0.5576542938721722
25,WhitespaceTokenizer,LSTM,0.0,0.35485299326957137,0.3903626476406788,0.5500343170899108
249,TreebankWordTokenizer,LSTM,0.0035814204475827123,0.3604667933538777,0.4007857862216264,0.5567604667124227
447,NLTKWordTokenizer,LSTM,-0.004246651844414787,0.35700592469661663,0.39526876717829945,0.5535910388754667
136,SyllableTokenizer,LR,-0.003266691917256044,0.3891712573575077,0.4232777302569875,0.5492313323572474
433,TreebankWordTokenizer,CNN,-0.00356227232488492,0.3618150888782497,0.4089795741451868,0.5652317153525148
110,SyllableTokenizer,LR,0.08166681295232818,0.4920194194021205,0.519244798743092,0.5746705710102489
202,TweetTokenizer,SGDC,0.0007922892617638356,0.4963773445421876,0.5084544817602833,0.5175017158544956
365,SyllableTokenizer,LSTM,0.0,0.3604600122904048,0.4063277448083464,0.5636238846945779
428,WhitespaceTokenizer,LR,-0.0186745272336377,0.3829315008903933,0.42915250055922494,0.5620470019767186
368,TweetTokenizer,GB,-0.023753535817772696,0.37469714368498747,0.4077516075866668,0.543582704186685
273,ToktokTokenizer,SGDC,-0.012147622060406824,0.3812840625560575,0.4198289309101356,0.5531914893617021
25,TreebankWordTokenizer,BNB,0.011950982129316343,0.4744184184869525,0.5005026867835934,0.5452299245024022
121,NLTKWordTokenizer,BiLSTM,0.5177960831441591,0.7572901456812041,0.7584145099853268,0.7578696925329429
236,ToktokTokenizer,LR,-0.012202830477220249,0.3859130333297633,0.42702391660138267,0.5566231983527797
294,TreebankWordTokenizer,BiLSTM,0.0,0.3590032380684218,0.4021340905225019,0.5600702833296728
277,SyllableTokenizer,LR,-0.013905124556557284,0.3949900378502788,0.433559507368294,0.5529169526424159
242,NLTKWordTokenizer,KNN,-0.0075676600506091925,0.4682637064564738,0.4611142376627188,0.4782429649965682
416,SyllableTokenizer,BNB,-0.0094871942233346,0.4814518900693449,0.4798805995197392,0.4816746739876458
401,MWETokenizer,LSTM,0.0,0.3599943772842283,0.40498379100589,0.5624862727871733
334,TreebankWordTokenizer,CNN,-0.009290310820189444,0.35987269336292216,0.40355784743563655,0.5605095541401274
187,TweetTokenizer,SGDC,0.009024424023055084,0.4561641508268293,0.4441307359359613,0.4745367192862046
368,SyllableTokenizer,GB,-0.002121176867618875,0.3716259779472941,0.4169363469573899,0.5633493479752917
107,WhitespaceTokenizer,KNN,0.030262522375174926,0.4844296861121361,0.4770941024952614,0.4945095168374817
136,MWETokenizer,LR,-0.030169746857567018,0.3760016860431122,0.41471344281690303,0.5499633967789166
179,TreebankWordTokenizer,KNN,0.0038306168176698414,0.4683257511602118,0.4595792354210272,0.47645847632120797
178,TreebankWordTokenizer,BiLSTM,0.0,0.35956043956043954,0.40373430275969735,0.5614275909402883
243,SyllableTokenizer,SGDC,-0.017989300202422787,0.4862616367459748,0.4869725192285684,0.4863417982155113
299,NLTKWordTokenizer,GB,0.004652404785713129,0.3734888867411282,0.4119891653866928,0.5555677575225126
258,NLTKWordTokenizer,KNN,0.007950861605691544,0.4727362987198482,0.4647162463416931,0.4814408082582912
467,WhitespaceTokenizer,KNN,0.010675391326297594,0.4744122874227023,0.4665633256545233,0.4835964310226493
381,NLTKWordTokenizer,KNN,0.007303351891241587,0.4740171167923018,0.4663944062736144,0.4816746739876458
236,NLTKWordTokenizer,SGDC,-0.016528497882638694,0.4783905378137504,0.4751094276070824,0.4803019903912149
207,SyllableTokenizer,CNN,0.0,0.35593669878878964,0.39341143426867997,0.5526424159231297
81,TreebankWordTokenizer,BiLSTM,0.0,0.35769705519308764,0.3984013597579565,0.5568977350720659
429,TweetTokenizer,BNB,0.001332791574538343,0.4938208335422079,0.5095964078939811,0.5235009883593236
511,MWETokenizer,GB,0.004852174793140969,0.3805216310035305,0.4256219653371791,0.5645847632120796
174,ToktokTokenizer,KNN,-0.005320921349318937,0.4704456431563317,0.4633801721097119,0.4774193548387097
329,NLTKWordTokenizer,GB,-0.018674929514997586,0.3704212533893343,0.4058910081127916,0.54799033604217
425,NLTKWordTokenizer,BiLSTM,0.0,0.3565119072857042,0.3950368048004344,0.5540303096859214
474,SyllableTokenizer,BiLSTM,0.0,0.3611330351661843,0.4082761396882215,0.5652711050102951
339,WhitespaceTokenizer,LR,0.004434121739133941,0.3916145636084112,0.42638076594386815,0.5518339556336481
42,ToktokTokenizer,SGDC,0.002727452993675529,0.4806606763253454,0.5028636666955737,0.5352093342484557
413,MWETokenizer,CNN,0.0,0.35684647302904565,0.3959844732967474,0.5548387096774193
241,SyllableTokenizer,KNN,0.0003722676112533368,0.4704155910003364,0.4627222053869963,0.4794783802333562
133,NLTKWordTokenizer,BNB,0.00878349042711452,0.5039669588122806,0.5129055538985248,0.5150308853809197
344,SyllableTokenizer,LR,-0.009991787569221684,0.4043715971983829,0.4383277859714349,0.5477707006369427
11,TreebankWordTokenizer,BNB,0.05415890143781284,0.5266008097165992,0.5312212541715817,0.5300146412884333
319,TreebankWordTokenizer,SGDC,0.016156108451858126,0.4961460177905575,0.4944547803160728,0.4964996568291009
395,NLTKWordTokenizer,KNN,-0.025676749764895687,0.4575548974090848,0.4495151746016901,0.4671645069185152
332,WhitespaceTokenizer,SGDC,-0.009278504172992587,0.4723207079136391,0.4662669768231124,0.4777070063694268
